clean_review,sentiment
chutney's are 1spoon only with dosa bit broken from first side,Negative
amazing test tha ..   itna testi khbi nhi khya ,Positive
"i told them to follow instructions but they didn’t and they never do , i told them to not put onion garlic yet they didn’t read instructions",Neutral
packing nd taste is  ,Neutral
sambhar is missing ,Negative
packing thik se pack kare rider jab bike chalata hai to sab kharab ho jata hai ,Neutral
please note what the orders,Positive
taste was good  ,Positive
i tried first time n it is awesome,Positive
packing was awesome taste was average ,Positive
aloo bhaaji was tasting foul,Neutral
good,Positive
mysore masala order kiya tha masala dosa àya,Neutral
sambar and coconut chutney less quantity ,Neutral
papad is missing,Negative
sambhar quantity is lessrest all is good,Positive
sambhar khatta tha ..not as usual.. sometimes tasty and when  order with craving..it destroys with cruelty,Negative
"there were whole peppercorns in the dosa which is what ruined the entire dosa. also too many onions. the rava masala dosa itself is so good but the aforementioned kinda ruined it. the star was coconut chutney, it’s amazing keep it up. the sambhar needs improvement.",Positive
"sometimes they don't follow the instructions, we have to call and tell aggresively to add extra items.but best packaging and fresh food.",Positive
everything was very good and the quantity is also enough for 2 peoplesreally proper and pure south indian taste after a long long time,Positive
no olives this time ,Negative
the food overall was not upto the mark. the gravy was too thin and the starter were not out of box they were below average,Neutral
"quantity is lesser, you can increase portion size",Positive
ordered chicken tikka masala. the taste of the gravy was good. but chicken was a but uncooked and raw. quality of chicken ws also not good.,Positive
we been having butter chicken at this place since the longest time. the taste was completely off. not worth ordering at home.,Negative
not full quality in the boxjust 2 to 4 piece i have received ,Neutral
i told not to send the bill still you sent the bill sticking on the box.,Neutral
food was good. quantity was not as per price . ,Positive
good packaging &amp; good quality food. overall nice experience,Positive
"worst experience my total order bill was 358 rs which was charged from zomato that is for two people what the hell is wrong with these people charging so much and it was fully oily and no chicken piece , please dont order or else you will regret",Negative
chicken pcs in biryani was uncooked,Neutral
fried rice was tastelesschicken was bland,Neutral
didn’t read comments of my order though food was good,Positive
quantity was less than expected. ,Neutral
very late delivery and not good  packaging an requested to restaurant for little onion slice but they won’t sent,Negative
very less portion and chicken ,Neutral
mutton rogan josh was oily try to use less oil,Neutral
i wast my money...only 4 pice chiken this dish....test was not good...my 350 rs is wast....pls dont buy...,Neutral
quantity was less,Neutral
qty served was too less recommend to eat at restaurant,Positive
delivery boys is  very good.,Positive
less qty,Neutral
the garlic bread is burnt !!pastas are bland. no flavour ,Negative
bad experience ,Negative
as always good food,Positive
quantity and quality is very low and even the taste also bad smell is coming from food i need my money refund now,Negative
pls gve d quantity ,Positive
worst food&amp; the quantity was to less.,Negative
very small quantity of food compared to the price tag rs299.,Neutral
not worthy,Negative
quantity is very small,Neutral
good ,Positive
good ,Positive
it’s very good.,Positive
ok,Positive
tasteless,Neutral
due to late delivery ,Neutral
good delivery ,Positive
it's ,Neutral
good test ,Positive
good ,Positive
manchurian quality was not good ,Negative
nice taste delevery man is also very nice food is also nice &amp; hot,Positive
everything is bad,Negative
bill not given by restaurant.no zomato seal on order.it is dilama that order is actual from restaurant or not ?,Neutral
awesome ,Positive
not so good! why cabbage in frankie ,Negative
i am not happy your food packaging,Negative
i will never add from here again.,Neutral
loved it,Positive
packing very bad,Negative
cheese maza aa gya value for money,Positive
very good item and hot item deliver . very good package,Positive
"thank you, it was nice",Positive
it's too much yummy thanks for making it as per instruction i given on call.,Positive
ketchup not therr,Neutral
yummy frankie,Positive
allo ki tiki hoti he na ki aloka mava bharte he ,Neutral
not a send ketchup with frankie and packing is very poor arriving frankie in transparent plastic bag very disappointed,Negative
,Neutral
perfect test ,Positive
packaging was worst ,Negative
good,Positive
good,Positive
i don't even get catch-up with it. very disappointed with this. ,Negative
aflatun,Neutral
worthy it was ...,Positive
,Neutral
if i am paying for customization then things need to given too,Neutral
my name was not written ,Neutral
great packaging for home delivery ,Positive
worst service n taste,Negative
enjoyed the cappuccino as always! packaging was brilliant and delivery was on time.,Positive
pleaase provide proper packing,Neutral
chai tea latte tasted like diluted milk.!!! there was  no flavor at all.java chip frappuccino tasted like bubble gum flavored frappuccino..!!!,Positive
please add the option for classic cold coffee in the menu. it’s a request.,Positive
did not follow the instructions!,Neutral
"loaded with only ice , when i have told low ice",Negative
they didnt add the hazelnut syrup i had ordered and paid for,Neutral
excellent taste ,Positive
awesome  taste enjoyed  very much w,Positive
too bad,Negative
drnik without straw ,Neutral
not value for money not at all good ,Negative
"received some other drink instead of ordered one, that too didn’t enjoyed even not followed the instructions mentioned during placing order.",Positive
pathetic,Negative
very bad quality and taste,Negative
i added a birthday wish but it wasn't there in the parcel ,Positive
very very disappointing ,Negative
coffee at starbucks is definitely good but things could have been a bit better. would suggest you to add extra things according to your preference to make it great.,Positive
you have not added pre added sugar.,Neutral
very sweet no taste of coffee total waste of money,Negative
great,Positive
bittersweet,Negative
the hot chocolate was spill out of the cup and it was completed empty!!!! the worst service.,Negative
average packaging ,Neutral
excellent packaging and it tastes amazing ,Positive
zomato boy behaviour is very bad 2nd time bad experience,Negative
how can we eat without spoon??? you didn’t even send cutlery  very poor service,Negative
got half of my order didn’t gwt fat burner and took the whole money pathetic service,Negative
cup was small instead of regular and i paid 260 for 1 cup,Neutral
very less quantity as compared to others ,Neutral
 i was charged 379 for full biryani and the quantity is very very less. not even enough for one person. taste was not good. isse acha to ghar pe dal bhat hai bhai. don't ruin your mood.,Negative
plain blend rice with some veggies and some paneer pieces feels like hospital food,Positive
the restaurant did not gave cutlery instead of delivery partner asking for it ,Neutral
its good in taste...,Positive
trotrillas was not  fresh at all which happens often times,Negative
worst experience ever!!!,Negative
test ok but qty less,Positive
just maintain  quality  and taste,Neutral
the food is really tasty and yummy but it's a bit over priced.,Positive
they give so less food jab vaha jate he vaha acha hota he par zometo me bahot kam bhejte he khana pese west he,Neutral
the best cafe in adajan had ordered for the first time the quality of the food was outstanding the chicken skillet was so yummy.,Positive
what should i say the best place for both veg and non veg food good staf service rates are not that high,Positive
"very good quality food, good staf behavior just try went to this cafe fir the 1st time and became fan",Positive
"very bad experience, rider came very late, delivery was very late",Negative
please use proper amount of veggies in salad.,Positive
great service and were very friendly atmosphere was awesome and i definitely liked that most important every food and drink on menu taste great,Positive
loved it. food is so lip smacking  &amp; healthy. every time i order from this restaurant. best biryani in town. ,Positive
worldclass,Neutral
third class.. bad smell coming… plz dont sell such kind of food.. do you give such kind of food to your family….. return my money,Negative
i want to return this…,Positive
i didnt like this chicken atall. can u replace it?,Negative
i love all smoothies but plzzz mention the name of  smoothies on glass,Positive
taste was horrible,Negative
quantity,Neutral
worst experience ever. too small portion size with no taste at all. on top of it zomato delivery partner don’t use the warming container to keep food safe and warm. orders take longer than expected.,Negative
  quantity was less than last time but  it's tasty as always i order it very oftenly,Neutral
3rd class food quality and taste.. couldnt eat anything to be frank. worst egg items i have ever tasted. ,Negative
ontime delivery and very politeful,Neutral
a little too salty,Neutral
ok ok ,Positive
the quantity of the combo is very less in compared to the normal order and there’s a taste difference also in the combo,Neutral
two different items are same,Neutral
taste was not goodpacking was also poor ,Negative
packing not good. ,Negative
pav were very dry also omelette was very dry no oil in both ,Negative
very very spicy unable to eat this money got wasted ,Negative
nice test,Positive
nice test ,Positive
food should be packed properly and health and hygiene should be taken care of while packing,Positive
very bad item ,Negative
just serve what you have written,Neutral
the order which i order was not delivered so very bad service very much disappointed,Negative
so late delivery,Neutral
portion i. e quantity is less compared to item rates,Neutral
lachko test same as khima,Neutral
"good and perfect, take special care of cooking instructions",Positive
full of oil,Neutral
perfect,Positive
"always best , healthy and fresh",Positive
spilled food,Neutral
excellent and yummy,Positive
did not send extra pav.,Neutral
best quality .. tasty bhi healthy bhi .. best part is that baba omelette make orders as per instructions given,Positive
good keep it up,Positive
what is this item baba omleti am not expect this very very very worst item,Negative
mene jo order diya vo he hi nai kisi or ka parcel bhej diya he yaar kya kese kam karte ho,Neutral
too much spicy after instruction of less spicy,Neutral
please make fresh food as we are not begging but we are paying whatever you ask,Positive
excellent ,Positive
roll will. be wrapped with the butter paper....,Neutral
i got bad food,Negative
so much oily ,Neutral
too much spring onion . ,Neutral
bakwass,Neutral
ok,Positive
.,Neutral
one of the worst dish i have ever had.,Negative
good,Positive
good one.,Positive
best for sweets ,Positive
good test,Positive
very faat delevery ,Neutral
good,Positive
there is no chuntney given along with samosa,Negative
i have received cold samosa how can someone eat such worst quality food,Negative
excellent,Positive
250,Neutral
सुपर,Neutral
keep this taste alive.,Positive
have not recived food,Neutral
delivery is good,Positive
very fast delivery ,Neutral
good,Positive
very good ,Positive
stale food bad smell,Negative
bahut bekar product se itni badbu a rahi hai aur khane mein to koi test hai nahin,Neutral
all time our favorite,Positive
wrong quantity n not good quality ,Negative
mast test,Neutral
best ,Positive
nhi mila order ,Neutral
good,Positive
i needy refund,Negative
nice thanks ,Positive
great work thank you,Positive
nice,Positive
shiv shakti has worst management .they gave me wrong order,Negative
my favorite sweet ,Positive
awesome,Positive
good food ,Positive
best best,Positive
good samosa,Positive
fine,Positive
i eat shiv shakti's samosa from 1995 at textile market and telling you till date it is excellent taste at ghod dod road branch also .,Positive
"is it from shiv shakti or from some fake restaurant, doesn't taste anything like it. rasgulla were not fresh and they were crumbling like pedda. samosa were not good as per the price asked for.",Negative
very nice ,Positive
it wasn't fresh at all ,Negative
"it's fully melted , it's not eatable , so you can take it back, i would like to take refund.",Positive
samosas were not hot ,Neutral
malai ghevar was not fresh very hard,Negative
this is what’s i got didn’t get the right order,Neutral
glass was not packed well wasted money. they not give 99pencacke brand glass they packed loos glass third class quality of disposable glass,Positive
was charged for extra biskoff but didn’t get it,Negative
spilled pancakes wid less topings,Neutral
the way of delivering should be according to the charges applied ,Negative
packing was not proper very bad packing ,Positive
too much pricey.. quantity was less,Neutral
"hi, i ordered pancake and whole is of no use as they all got messed up and    spoiled",Negative
without bag he delivered my order. so unhealthy and unsafe. never ordering from zomato,Negative
it was good. liked the dessert. wasn't hot as delivery took some time. overall it was ,Positive
not worth the price ,Negative
it was complete mess,Negative
i have added a massaged gift card with this bt i have not received it ,Positive
refund,Neutral
i hv had waffle n pancakes from 99 pancakes before.  but this wasn't upto the standard. not worth the money.,Negative
where good  ,Positive
a bit bitter taste at the end ,Negative
,Neutral
absolutely amazing! the place is beautiful and staff are super friendly and the food is delicious. i love that you get a lot of food as well for the price.,Positive
nice ,Positive
bottles were not given properly closed. no tape was also put on bottle. how would we know if delievery boy drink it and give it to me ...poor packing... ,Negative
.,Neutral
make the doughnut dough proper and less dry,Neutral
this is so much oil....test not good,Negative
buri tara se khana pura gira diya he..,Neutral
nice,Positive
i have added 2 vanilla ice cream with my order which i didnt got and it affected my whole surprise for the one whom i have ordered all of this.,Positive
pathetic taste and quality,Negative
may vest of money ,Neutral
be quick to prepare the order.,Neutral
don't buy from here ,Neutral
ice cream is melted and waffle get soggy and all melted ice cream has been on the waffle box,Neutral
shut down your pizza menu its worthless ,Negative
i like about the price . service was quick and rider was friendly. have been thier regular customer. i love maggi,Positive
excellent taste and freshness..a total worth buying and would definitely try other flavours too...,Positive
"very bad food, don’t buy, they give me fries instead of waffle",Negative
the taste of was very bad and quality was also too bad. i'm not feeling good after eating. please make good quality of pizza. they make very horrible pizza. and it also not packed as zomato norms. please take action against such irresponsible restaurants. ,Negative
this iteam half,Neutral
ghatiya quantity,Neutral
the waffle did not taste like waffle at all. it was not at all crispy. ,Negative
packing not good look like any body open it,Negative
"price is high ,this is my last order",Neutral
waffle was too bad with quality. it was too hard to eat and it was tripple chocolate but no chocolate sauce were there ...,Negative
west of money and food time,Neutral
not like a pizza veggies are not cooked   cheese is not melted ,Negative
worst food,Negative
bed,Neutral
super,Positive
"this restaurant having issue for malting of chocolate, need to take some proper packing for home delivery and also damage",Negative
very bed,Neutral
hair fall in waffle very bad things zometo need to look in this matter,Negative
the coffee was raw and so damn bitter because it wasnt blended well. disappointed. please dissolve the coffee granuals well with chocolate sauce before spreading on waffle.,Negative
hi,Neutral
garam nahi tha... packing bi barabr nahi thi,Neutral
too good icecream.. yummy ,Positive
mancurian is not good very bad smell,Positive
got free lassi with 2 paneer sabjis. both sabjis were good with excellent quantity. definitely gonna order next time.,Positive
worst food ever,Negative
good service ,Positive
good tast,Positive
shirkhand is not delivered,Neutral
good peking good food &amp;very chipest rate but item high qwalty,Positive
really good. ,Positive
good,Positive
full garma garm ,Neutral
missing sweets not proper packings ,Positive
nice test,Positive
despite of instructions there was no spice and chilli and not even salt. did not like noodle at all. terrible experience ,Negative
overall good chole is not good but it is okay okay,Positive
not received shikhand.. missing shikhand in parcel ,Positive
you must improve the quality of roti,Positive
best items ,Positive
in gujarati thali very bad service2- item missing no menu item please don't order gujarati thali_,Negative
excellent taste,Positive
noodles k sath salad nahi diya tha aur tel bahut jayde tha,Neutral
feel good ,Positive
good ,Positive
marcha bov nakh ,Neutral
taste not like mango and quantity was worth 10 rs,Negative
cheese taste is totally worst and cheese taste issue pure sour taste ...i do n't like this ,Negative
requesting refund for pizza,Neutral
,Neutral
food was cold ,Neutral
food is totally cold not satisfied i want my refund,Negative
very good taste and fresh,Positive
one by one free not receive ,Positive
it could be better if u refund some money ,Positive
"food was very cold. taste also average.even after ordering and specifically asking for extra oregano, they did not do it.",Neutral
pizza was not hot enough ,Neutral
pizza was chopped,Neutral
super ,Positive
realy hot and fresh,Positive
bad pizza,Negative
"ovenstory delivery boy is very rude. not communication skill is very bad., he has took 1.5 hours to delivered my order",Negative
food good ,Positive
it was smaller than what it looked like in the picture so it seemed costlier,Positive
i got the wrong order,Negative
it took my order and half hour later says it won't deliver,Neutral
after accepting order they denied for delivery after 45 min .. really bad service  by zomato and restaurant ,Negative
nice,Positive
good,Positive
this restaurant is using adulterated sodas. ,Neutral
not upto expectations and price point,Neutral
the pizza did not seem fresh. it was very cold. ,Negative
taste is very bad and ingridents are not fresh. delivery is too slow.,Negative
the quantity of cheese was very less same as some regular marghereta pizza.,Neutral
,Neutral
on time delivery and yummy pizza ,Positive
na,Neutral
if u can’t deliver what u promise…it’s better to shut the thing down and not to loot people on their money.,Positive
we ordered for cheese brust but didn't received the expected and also the pizza's were not served hot. ,Neutral
.,Neutral
.,Neutral
received cold pizza.....pizza bread is too hard to chew....,Negative
best,Positive
.,Neutral
the base was as thin as papad and we ordered pan crust and we got thin crust,Neutral
veggies were extremely dry on informing the team they were not even ready to accept very bad experience ,Negative
please send fresh again ,Positive
"pathetic pizzza ever , plz learn something from your competitors ",Negative
delivery boy was pathetic,Negative
excellent ,Positive
liked the taste but its not filling. not worth the price i paid.,Positive
the food is cold and not fresh... bad quality ,Positive
nice good test ,Positive
coke was missing,Negative
"no proper packing, delivery man informed restaurant didn't gave bag, serious hygiene compromise..!!",Negative
i received it all cold,Neutral
the pizza is all messed up and not in a condition to eat,Negative
"the pizza was not hot at all, what happened man?",Neutral
improve it and resolved the order ,Positive
it was an absolute thandaaa pizzaai wish it could be hot,Positive
bakwas,Neutral
taste is good but received cold,Positive
it was cold n soggy,Neutral
awesome food and taste,Positive
very good delivery and taste.the portion was appropriate for two .4.5/5,Positive
not hot... but taste is ok... low spicy,Negative
too late delivery. food was prepared too late. delivery also too late. all the food was too cold.,Positive
i ordered tandoori paneer and i've received other item,Neutral
good,Positive
the pizza was not cooked wellit's feel like eating half cooked pizza,Positive
nice person  good man,Positive
"delivery boy new &amp; not good ,bad behavior",Positive
worst pizaaa ever extremely oily would want a refund,Negative
good,Positive
fast ,Neutral
fastest delivery and awesome service. i got my order within 20 minutes. thank you ,Positive
very good delevery.thank you so much partner.,Positive
refund of 50 given instead of arranging me the order : worst customer support,Negative
good test,Positive
didt provide tomato souce chilliy souce with noodle,Neutral
very very green chilli   not liked ,Negative
good ,Positive
note tasty food,Neutral
foos quality is good ,Positive
great service ,Positive
fast ,Neutral
 best,Positive
bhut tikha sabji bana diya tha,Neutral
no cutlery ,Negative
unhygienic food delivered,Neutral
i ordered paneer butter masala and they send shev sabji,Neutral
good taste! but u can add up a sweet in this package!,Positive
good,Positive
good,Positive
not delivered,Neutral
delivery very good ,Positive
good,Positive
excellent and best restaurant ,Positive
very very poor and unsatisfied with packaging and food quality,Negative
fastest delivery and vary good communication ,Positive
even single piece is not crispy,Neutral
very low quantity,Negative
very for nan,Neutral
good work,Positive
not good as expected,Negative
nice,Positive
no salt no taste also onions were not fresh ,Negative
worst food ever i have paid,Negative
not manchurian only serve oil wrost experiance,Neutral
no,Negative
nice food,Positive
yami,Neutral
west of money ,Neutral
late delivery ,Neutral
great service thik sheke good quality...nicely greeting m indrajeet mandal thank you so muchh dairy don.....,Positive
nice greting m.s inde jeet mandal all good survece kaju anjir tik shake good quality coco good test best in service thank you so much dariy don ,Positive
gret survice think shake good quality cace fresh food and nice greeting good staff m inderjeet mandal coco nice thank you for dry don ,Positive
,Neutral
"packing was not good , coco came out of many glasses.",Negative
one of the best desserts i had in city. thick shake is smooth and fresh. love of visit here again :),Positive
nice love dairy done....enjoy ice cream.....................................................................................................,Positive
the taste is very authentic and classic. tasted kaju draksh ice cream and found it to be pure in taste (no frozen ice/ water). the cold coco is too good. worth visiting here again.,Positive
"finger licking delicious stuffs! quite a good environment and friendly staff with quality and delicious full packed menu. and ofcourse, pure veg.",Positive
very bed condition cake is not good condition full melt please collect your cake very bed condition ,Negative
nice cake,Positive
product is not as shown and quality is not up to the mark,Neutral
bad,Negative
all good,Positive
flavour is not the same that i ordered.,Neutral
very good testy and fresh cack ,Positive
not good,Negative
we have paid full amount.  but we haven't  received the all items order  nor the payment.  please look into this matter.,Negative
cake was totally meshed and broken i am not happy with this delivery….,Negative
very good ,Positive
nice pastry ,Positive
"worst experience ever i faced, rude behaviour from the restaurant. ",Negative
yum      so nice and fresh cake i love it thank gays ,Positive
please give quality product to your consumer.because this kind of things may ill person who eat this product.,Negative
my cake is damage,Negative
sent some other cake other than red velvet without even asking ,Neutral
very bad quality of cake very bad service ,Negative
"not wrote name on cake, damage cake",Negative
ordered 2 cakes and ask them to write diff line on both. they missed writting name on one cake and the cake was broken too much.,Negative
osm good ,Positive
"the cake was in a very bad condition,cake become messy.",Negative
damaged cake,Negative
worst hai ,Negative
tottaly worst ,Negative
need refund,Neutral
cake base was hard n it was over creamy. ,Negative
destroyed the cake very untidy work hopeless,Negative
all perfect,Positive
delayed delivery,Negative
getting melted cake from restaurant,Neutral
very nice ,Positive
very bad condition,Negative
"i always prefered monginis but due to its unavailability, i ordered for the 1st time from bakers room and the cake was really delicious. it's my new favourite now...",Positive
taste bhi acha nahi hai quality bhi achi nahi hai hotel ko quality per focus karna chahiye rate 1star,Neutral
very good koletiy thanks ,Positive
they made wrong food. read orders properly. ,Negative
food is not as much as it should haveplease make improvement,Positive
excellent it's so delicious and yummy,Positive
mujhe chiken fried rice me khi chike mila hi nhi,Neutral
bad test ,Negative
very disappoint ,Negative
maine spicy food bola tha to ekdm feeka tha aur namak bhi maine daala ekdm acha nhi tha,Neutral
tasty food,Neutral
sweet and tasty ,Positive
too much spicy even i told u don't make spicy ,Neutral
not good at all,Negative
no gravy in the parcel..?,Negative
too less in quantity,Neutral
images wish totally different items ,Positive
awesome,Positive
nice ,Positive
no cutlery was sent even after instructions of sending cutlery ,Negative
very bad smell yoir food ,Negative
so tasty  ,Neutral
firt time but bed experience,Neutral
yami it's gorgeous i like the taste,Positive
nice,Positive
nice work,Positive
not test as per requirement,Neutral
very bad. quality n quantity dono hi bakwas,Negative
just unbelievable testy foods they provide. i thought everyone should try their foods. it just awesome testy.,Positive
"they try give their best services as like they give you on time delivery great packaging at your doorstep..foods are hot, fresh and very yummy.",Positive
so lovely taste and quality! it's always one of my favorite choice to order from online. this restaurant always provide best quality and delicious foods with very extensive menus.,Positive
i would rate 5 out 5 to this restaurant. very yummy taste and very worthy deals of the dishes.. great to say i am really satisfied by the taste and quality of the food of this restaurant.. order from here.,Positive
you should taste foods of this restaurant because foods are totally great in the taste. i tried many foods of this restaurant which were very yummy guys..,Positive
"great service! personally they satisfied me completely. amazing and tasty foods, amazing prices with huge quantity.. i'm happy.",Positive
"so happy i'm with the amazing service of this restaurant. took many orders in just last week because first time when i ordered a dish from this restaurant, i was fully happy with the taste and that's so now i'm regular customer of this restaurant.",Positive
"i've a suggestion for you guys. wanna taste delicious, yummy foods? then take order from here. dishes are really really very delicious and available at great discounts also.",Positive
highly recommend from me to order from this restaurant because foods are best in the taste and best in quantity which will fully cover your hunger..,Positive
good services! recently i ordered some varieties of dishes from this restaurant. dishes were in the decent amounts which were also very fabulous of the taste.,Positive
i am 100% sure about you never try before that type of testy foods. just nex lavel testy foods they provide. must try.,Positive
i have ordered chicken lollipop dry yesterday evening for my evening snacks. it was so tasteful and delicious. it was totally worth of money. ,Positive
"completely happy by the amazing services! quality and fresh foods, tasty foods , nice deals all are beautifully placed here... i would definitely go back to order here again in future.",Positive
i've ordered veg hakka noodles from this restaurant. it was very delicious guys. you should taste it,Positive
very deliciously made! food was very delicious of taste which quality was also much good. staff were helpful and presentation was good.,Positive
for the dinner yesterday we ordered few dishes from here. dishes were totally amazing of taste and was very fresh and hot which we enjoyed totally at our dinner. thank you..,Positive
very fast delivery service ! recently i placed order from this restaurant. food quality was amazing guys... so tasty.. it was worth of money.,Positive
recently i had a order of this restaurant. guys that dish was absolutely fantastic and very tasty. this well cooked food was very worthy..,Positive
i ordered their chicken chinese biryani.it is too tasty.their food quality is precious and flavorful.,Positive
yesterday evening i have ordered veg manchurian dry from this restaurant. it was so good and tasteful. i just loved it. ,Positive
packaging was done really nicely and they maintain as clean as everyone likes. dish was tasty and hot.. delivery time was fast.,Positive
i ordered chicken fry from this restaurant.all most all food items are nice and good in quality.....,Positive
"chicken lollipop dry, i've ordered from this beautiful restaurant. it's truly amazing of taste as well quality",Positive
i recently ordered from this restaurant chicken lolipop dry it's very delicious and amazing food perfectly presentation of food,Positive
different types of chinese food items are provided here.good restaurant and good service............,Positive
"veg manchurian dry, i ordered from this restaurant. price was also much affordable guys.. must try it",Neutral
i taste their veg hakka noodles.it is delicate in taste.their food quality and quantity is perfect and incredible.,Positive
i want my money back shit greenee food is very worst smell is coming ,Negative
as such it was good but the onions were bit more due to which the taste was fine,Positive
the sandwich was dipped in black coffee as it was not nicely packed,Negative
"fast delivered,  great taste,  affordable price.  must order ",Positive
do not fool people,Positive
cold chocolate mangaya tha jhag bharke de dia. ,Neutral
not good it's black nd not even hot,Negative
itni ghatia idli aur chutney kabhi nahi khaye.. chatney ke naam pe paani.. auridli ke naam pe sukhi huye suji,Neutral
"tea was packed i  plastic beg, please try to avoid next time",Positive
basi burger,Neutral
l will not order on this restaurant ,Neutral
no taste,Negative
need refund of this sandwhich they added aachar in the sandwhich instead of peri peri,Neutral
every good,Positive
it was cold food,Neutral
chutney i asked they did not give,Neutral
all good,Positive
not good quality ,Negative
too less quantity ,Neutral
 a very bad expirence  would like to get a compensation of the iced tea it's packing was horrible it killed the mood to drink it ,Negative
ice tea is missing and not received only sandwich,Negative
tatse was nice but the quantity of every food wasn't as expected for this price.,Positive
no cheese in sandwich &amp; it was burnt &amp; chutney was smelling badly ,Negative
very badit was packed well,Positive
worst service by delivery partner just wasted my time and energy,Negative
write what are you going to serve in your menu details.,Neutral
order delayed.. terrible service ,Negative
cake was very delicious ,Positive
as always it was delicious in taste.. even the staff is too cooperative .. i would request you to give a try to this choclate chips cake you won't regret ,Positive
delay in delivery ,Negative
i bought cake with sparkling candle but s candle not received.,Positive
didn't write name on cake as i have written in massage.,Neutral
good,Positive
cake was spilled everywhere.disgusting not at all helpful ,Negative
i tell them to write tikku on cake but wrote fikku.,Neutral
good,Positive
please refund my money. i ordered a beautiful cake and what i got ,Positive
ગુડ સર્વિસ ,Neutral
this is not the cake i ordered ,Neutral
mast testy,Neutral
what we are ordering and what you delivered...very bad habit and i will recommended on zomato not order on this shop nor to purchase,Negative
oyeeeeeeeno name ??????????,Neutral
too much creamy. cake was less cream was more,Neutral
delevery boy was excellent  5star for him .,Positive
very nice,Positive
delivery on time,Neutral
"chocolate chips cake... iss so testy, goood quality , fresh cakke, goood packaging , thank yoou daddy cake... .",Positive
"cake was wonderful freshly made as per instructions, thanks for making the occasion better with this delicious and fresh cake... ",Positive
very bad service ,Negative
test was very cheap your cake is spoiled our best moments and i had never expected that.......very disappointed ,Positive
the delivery boy destroyed the cake to the fullest.. ,Negative
it was not fresh and there was no taste at all,Negative
test bhut achha tha ,Neutral
i got damage cake... ,Negative
the decoration was completely ruined. it was a terrible birthday cake. did not taste right,Negative
all good just make a proper packing so the message doesn’t get spoiled as today message was totally vanishedit’s rainy weather so no complains though taste was superb 10/10,Positive
"not at all fresh, and was too hard and chewy. never buy from this place.",Negative
the taste was absolutely awesome.,Positive
best cakes on best price,Positive
got damage cake ,Negative
ok,Positive
the pastry delivery was not good,Negative
"taste was was  good  ,but  cake was  melted  and  mess up with box ,also they did not write proper meassage  on cake",Negative
good service and communication keep it up ,Positive
always rich on taste. ,Positive
i really ..... really..... ....good  taste..........superb  cake ...we love it so much................,Positive
superb taste will like to order again..........thank you so much ....daddy cake................,Positive
doesn't pack in a gift formnd doesn't give e - card,Negative
cake received with one side broken condition  and picture attached for your information,Negative
i pay for sparkle candlebut restaurant not send me ,Positive
they said flat 50% off and i ordered cake of 500gm but got around only 250gm cake. such a disgusting.,Negative
"worst experience. cake smells to dirty and taste was horrible. it's like too old cake, it's cream and bread smells very bad. all wasted",Negative
best service,Positive
good,Positive
perfect taste n fresh,Positive
loved services at this late night during lockdown period ,Positive
i told them to call me and gave a number but they never call me and just send the cake they shoud follow the instructions ,Positive
not gud packing...my cake was destroyed till i ll received,Negative
excellent customer service,Positive
cake didn't reached home in good condition ,Positive
delivery guy is good ,Positive
very bad quality ,Negative
we didn't receive our order on time..  ,Neutral
"test not good, over priced",Negative
no tast,Negative
sorry from your side bcoz -o is not available the worst biryani ever had,Positive
very bad stale food,Negative
great support ,Positive
biryani is super,Positive
bhai biryani order karke apna time waste mat karo sabse ghatiya biryani dete hai chawal alag gravy alag,Negative
delivery experience bahut achha tha magar biryani ka taste bahut kharab tha maine thora sa khaya baki ka sab fenk diya very bad experience ,Negative
no test many west,Negative
very nice test,Positive
पिस ओर चाहिए ,Neutral
totally waste of time and money,Negative
etna kharab oder dete he zomato wale mera pesha free me thodina aata he sir thoda sha bhi ni test he esme ye biryani west jari he ,Positive
good caulty,Positive
itna ghatiya biriyani main kabhi nahi khaya,Neutral
biryani junction great biryani  teasty biryani bitiya ne lover only order for biryani junction i have so so test and i future naxt order to biryani junction love you biryani junction family order to short time because chicken piece very soft and testful totally paisa vasool i request to zomato company promote by biryani junction i am so happy again,Positive
"ghatiya biryani ever, maine aisi ghatiya biryani kahi nhi khai ,total waste of money ",Negative
money is lost,Negative
superb test biryani junction enjoy food and proud biryani yah biryani khakar mujhe biryani ka enjoy mila hai ab main yahi ki biryani khana pasand karunga next order tu biryani junction thank u so mach,Positive
biriyani is a very tasty food i like so much and you know what this biryani delevery is so successfully it's so easy to order the biryani.so healthy for health and so testy and so yummy it's really wonderful ,Positive
biryani is a very tasty food and it's a really wonderful test. you know what this biryani is so healthy for health. i'm so happy food delivery successfully and it's a really good ,Positive
biryani bohat achhi he ham ab se yahi oder karinge or testi biryani he packing bhi bohat achhi he ham dosto ko bhi batainge yahi se oder kare or koi bhi family program me oder kare bas yahi kahungi sab kuchh bohat gama i am so happy ,Positive
"thard class test, &amp; chicken pieces is only 1 pice ,i also oder extra pieces but don't come...the restaurant is total frud.....",Neutral
not properly packing and bad taste total wasting time and money ,Negative
there is no tikka chicken in this food also no raita ,Negative
tasteless,Neutral
simple fried with half cooked chicken.....ana karta sari to khichdi hoi,Neutral
bhot kharab biryani milti hai koi mat lena chicken me se to smell aa ri thi,Neutral
very poor quality rice used and i order for boneless but recived bone order i highly disagree with this order request to you please refund order i will order from behrooz ,Negative
